s,d,t
286,510,68.09730156
70,154,68.09906062
601,839,68.09927171
122,759,68.09976425
231,185,68.10419709
318,839,68.10602652
460,393,68.10701159
92,854,68.110389
50,154,68.11102226
540,92,68.11503292
859,185,68.11728453
50,154,68.11763634
14,701,68.11855105
863,554,68.11862141
601,839,68.12256172
579,776,68.12305426
220,154,68.12481332
859,308,68.13149776
346,376,68.13248284
635,829,68.13719713
635,829,68.13776003
579,743,68.13916728
576,779,68.14085598
130,523,68.14268541
610,257,68.14317795
83,776,68.1535916
83,776,68.15457668
83,701,68.15619502
130,642,68.15654683
859,492,68.15760227
280,35,68.16245729
361,642,68.16351272
346,183,68.16421635
83,33,68.1706897
576,496,68.17083043
424,35,68.1770927
833,642,68.18574729
833,853,68.18785817
424,35,68.18961723
833,183,68.19102448
833,152,68.19257246
833,388,68.19602022
276,779,68.19953835
579,776,68.20305648
424,388,68.20755968
524,55,68.2096002
424,357,68.21368122
231,572,68.21508848
220,496,68.21536993
276,497,68.21536993
576,254,68.21600319
328,445,68.21628464
887,94,68.21712899
497,878,68.21881769
833,445,68.22177292
83,776,68.22275799
887,319,68.22409488
870,878,68.22416525
833,388,68.22543177
576,779,68.22937207
870,293,68.23134223
870,734,68.23373455
831,328,68.23478999
276,436,68.2351418
281,504,68.23542325
276,436,68.23711195
579,33,68.23837848
579,776,68.24063008
424,388,68.24956613
281,740,68.25195845
1,741,68.25329534
276,572,68.25477296
764,319,68.25596912
487,730,68.25772818
764,388,68.25850217
281,50,68.2653977
424,388,68.26736785
357,443,68.26757894
357,50,68.27306722
276,779,68.27447447
357,40,68.28165145
281,850,68.28622502
374,538,68.29572396
445,94,68.2979052
357,538,68.29924209
609,92,68.3018455
345,31,68.30395638
345,492,68.30557472
345,40,68.30733378
281,781,68.3088114
345,92,68.30951502
345,572,68.31303315
345,388,68.31542548
345,388,68.316692
70,154,68.31859179
374,878,68.31887324
345,266,68.32633167
328,445,68.33477518
280,35,68.33533808
328,674,68.34504811
70,444,68.35018458
50,154,68.35102893
552,290,68.35215473
494,308,68.35236582
171,96,68.35250654
50,444,68.36045751
552,757,68.36249803
171,240,68.3646089
859,148,68.36538289
623,445,68.37523365
277,106,68.37706307
712,734,68.38311425
623,674,68.38311425
623,31,68.38466223
623,96,68.38621021
870,878,68.38705456
277,868,68.38796927
623,437,68.38825072
720,31,68.39282429
859,374,68.39338719
686,290,68.39620169
712,283,68.40126779
277,372,68.40183069
281,868,68.40288613
712,290,68.40753006
328,445,68.41069637
629,293,68.41541067
686,283,68.41639574
712,49,68.41949169
277,447,68.42054713
192,93,68.42160257
686,544,68.42195438
592,388,68.42385417
92,290,68.42821665
764,388,68.4284981
686,544,68.42983499
524,55,68.43321239
192,92,68.43335312
712,686,68.43384565
870,789,68.43870067
552,290,68.44095227
870,133,68.4427817
577,493,68.44496294
686,290,68.44629983
192,545,68.44658128
192,545,68.44714418
686,290,68.44932542
552,92,68.45045122
280,504,68.45115484
92,290,68.45347681
192,838,68.45389898
38,55,68.45495442
92,290,68.45692457
686,290,68.45699493
686,290,68.45783929
345,92,68.45903545
870,265,68.45924654
552,544,68.46023161
224,226,68.46431264
686,388,68.46600134
712,388,68.46804186
345,31,68.47036382
577,515,68.47085636
345,374,68.47120817
345,388,68.47500775
281,264,68.47718899
812,126,68.47725935
345,290,68.47782225
583,185,68.47796298
764,388,68.47986276
92,290,68.48049603
92,290,68.48232545
712,388,68.48324017
277,504,68.48415488
812,97,68.48521032
686,290,68.48619539
764,388,68.488447
686,290,68.48908026
92,290,68.4929502
577,701,68.49477963
712,290,68.4952018
281,504,68.49794594
686,388,68.49956428
712,290,68.50125298
712,290,68.50209733
192,92,68.50258987
764,388,68.50287132
92,290,68.50434893
686,290,68.50526365
192,388,68.50765597
552,290,68.51187773
277,593,68.51208881
712,290,68.51251099
92,290,68.5145515
686,388,68.51581803
712,388,68.51595875
870,395,68.51792891
712,290,68.51799927
686,290,68.52651314
686,290,68.52967945
92,290,68.53038308
686,290,68.53129779
92,290,68.53207178
552,290,68.53207178
712,290,68.53411229
92,290,68.53432338
712,290,68.53580099
598,572,68.53678607
686,290,68.53685643
92,290,68.54297798
92,99,68.54684792
686,290,68.54698864
712,290,68.5481848
92,99,68.54825517
686,290,68.54832553
764,388,68.55022532
92,290,68.55099931
686,388,68.55339163
712,388,68.55381381
712,290,68.55620614
686,290,68.55768375
92,290,68.56274985
712,290,68.56605689
764,388,68.57006756
92,290,68.57034901
686,290,68.57041937
712,388,68.57400786
92,290,68.57583729
712,290,68.57801853
764,388,68.58111448
686,290,68.58505478
686,290,68.58751747
622,572,68.58772856
686,290,68.58850255
712,388,68.58857291
686,388,68.59377974
764,388,68.60616355
92,290,68.60862624
716,572,68.61031494
712,290,68.61179255
712,290,68.61355162
92,290,68.61531068
686,388,68.61714011
686,388,68.61798446
92,290,68.61826591
712,290,68.62368382
716,851,68.62903138
764,388,68.63064972
712,388,68.63972649
712,703,68.64444078
764,388,68.64619984
92,290,68.64690347
712,703,68.64760709
686,703,68.64943652
173,389,68.65752821
173,585,68.66069453
92,290,68.67012311
716,288,68.67293761
764,388,68.67575211
622,387,68.68109967
764,876,68.68876919
203,31,68.71585877
353,55,68.7614537
353,786,68.78066268
194,705,68.99343904
395,433,69.64337795
395,93,69.64858478
777,265,69.68573621
777,264,69.68897289
777,546,69.69636095
777,293,69.70198996
14,701,69.70797078
392,388,69.72394308
747,726,69.7691862
375,437,69.79106895
601,839,69.80528219
369,738,69.84053383
3,640,69.92159149
264,31,69.93073862
478,546,69.94741455
521,443,69.96233141
98,853,69.96810114
361,266,69.97091564
98,703,69.9715489
279,182,69.97351905
361,31,69.97534848
279,851,69.97809262
98,546,69.97992205
120,738,69.9835809
279,428,69.98428452
361,387,69.9847067
361,183,69.98660649
279,94,69.99047643
395,443,70.00257879
395,388,70.00433785
341,125,70.0138368
256,734,70.0502846
217,31,70.08687313
217,31,70.08968763
870,265,70.09158742
217,387,70.09468337
39,374,70.1038305
620,261,70.10755972
264,387,70.11220365
870,293,70.13704163
247,515,70.1506216
122,428,70.21746603
361,759,70.23231253
538,759,70.23653428
122,759,70.23737863
538,264,70.23963023
478,546,70.23998204
478,546,70.24328908
538,640,70.24673685
538,743,70.24849591
538,40,70.25201404
538,490,70.25651724
70,154,70.26270915
221,549,70.26425712
721,734,70.27481151
244,326,70.28184776
326,96,70.28381791
244,731,70.28642133
244,545,70.28853221
244,493,70.29894586
244,702,70.30169
359,126,70.31104822
359,242,70.31639578
14,388,70.31970282
14,154,70.32279877
14,326,70.32716125
14,326,70.33060901
445,126,70.3325088
244,290,70.33651947
244,326,70.33898216
389,736,70.34432971
244,592,70.34967726
244,92,70.3582615
244,4,70.36206107
244,839,70.36818262
424,388,70.37184147
150,387,70.37275618
43,152,70.39534256
464,265,70.4185622
745,35,70.41996946
538,270,70.4255281
578,831,70.42799079
538,559,70.43270508
363,734,70.43347907
745,387,70.43566031
495,447,70.46113155
464,128,70.4723192
717,261,70.48238104
256,734,70.48449192
464,248,70.48674352
464,248,70.48730642
256,734,70.4894173
538,518,70.4899802
342,874,70.49455376
395,388,70.51545144
395,734,70.51911029
764,242,70.52108045
721,734,70.52516147
432,876,70.55182888
432,101,70.55401012
432,102,70.55717644
432,873,70.55844296
432,782,70.56013166
432,241,70.56146855
4,443,70.58869886
395,388,70.6040379
424,388,70.60734494
424,388,70.61065198
395,388,70.63007204
578,831,70.64766268
578,831,70.66229809
65,56,70.6780593
346,40,70.69811263
39,248,70.70620432
39,248,70.70620432
346,544,70.71675871
122,92,70.72583548
122,152,70.73040904
318,558,70.73385681
271,757,70.73878219
83,701,70.73885255
445,387,70.74201886
538,40,70.74898476
619,94,70.76692721
631,236,70.77199331
619,389,70.77199331
3,90,70.77741123
3,640,70.78170334
106,593,70.78522147
538,640,70.78599546
3,490,70.78958395
3,490,70.79204664
538,490,70.79345389
3,640,70.80267138
538,640,70.8064006
777,265,70.8080893
239,290,70.81062235
620,105,70.81864368
777,264,70.8195584
538,264,70.82251362
777,264,70.82652429
239,5,70.82757973
106,423,70.83152003
762,424,70.83173112
538,264,70.83236438
56,493,70.84495928
777,425,70.84524073
813,236,70.84861813
3,53,70.85065865
274,775,70.85403605
3,701,70.85790599
55,250,70.86522369
56,250,70.87162669
56,250,70.88316615
55,250,70.88548811
56,250,70.88612137
709,636,70.88745826
55,250,70.88773971
392,388,70.88992095
709,874,70.89196147
56,250,70.89407234
709,425,70.89456488
392,290,70.90800413
719,248,70.90863739
777,264,70.90891884
424,388,70.91588473
424,780,70.92031757
719,249,70.93059051
83,874,70.93277175
435,436,70.94121525
83,326,70.94916622
83,326,70.95099565
777,595,70.96337946
388,242,70.98286988
33,50,70.99525369
434,290,70.99799783
712,388,71.03613434
244,636,71.03873775
424,388,71.04274842
686,544,71.04408531
686,92,71.04577401
712,388,71.04689981
507,639,71.05365461
359,387,71.06047978
359,242,71.06301283
623,437,71.07089344
78,390,71.0715267
623,96,71.07223033
623,445,71.07335613
49,558,71.07455229
49,515,71.07743716
623,876,71.07785933
49,876,71.0790555
623,266,71.08060347
623,40,71.08461414
261,517,71.09073568
244,4,71.09115785
575,359,71.09383163
78,179,71.09981245
78,395,71.10621544
859,185,71.10727088
261,261,71.10945212
78,387,71.11078901
78,388,71.11852889
424,388,71.11916215
49,183,71.12106194
78,97,71.12387644
424,388,71.12816856
78,388,71.13295321
118,59,71.13984874
424,388,71.14695536
93,270,71.16271657
93,123,71.17313023
93,290,71.17587437
93,510,71.17974431
619,2,71.18361425
93,782,71.1838957
870,423,71.18466969
226,179,71.18818782
93,484,71.18875072
93,152,71.1953648
93,107,71.1970535
226,55,71.19824966
870,265,71.20021981
226,242,71.21337761
226,642,71.2180919
226,387,71.22547997
445,94,71.22991281
269,90,71.23160151
428,538,71.24011538
495,59,71.24637765
552,572,71.24933288
428,878,71.25439898
674,40,71.26256104
552,544,71.2654459
674,40,71.26664206
40,94,71.27311542
209,786,71.28338835
837,373,71.29155041
395,388,71.29394273
395,869,71.29675724
546,389,71.3018937
538,264,71.30337132
546,673,71.31385534
538,40,71.31455896
71,705,71.31589585
267,270,71.31969543
538,270,71.32018797
71,387,71.32046942
267,270,71.32321356
686,96,71.32919437
424,388,71.33257178
267,388,71.33714534
870,789,71.33841187
686,388,71.33939694
43,53,71.34819226
686,388,71.35593214
43,36,71.37098973
470,542,71.37218589
686,544,71.37591511
62,437,71.37922215
62,437,71.3800665
870,544,71.3823181
833,642,71.38407717
870,437,71.38520297
833,96,71.38780638
833,261,71.38865073
833,261,71.38949508
833,261,71.39062088
623,543,71.39181705
833,242,71.39259103
62,395,71.4027936
833,395,71.41095566
44,36,71.41806228
62,759,71.42122859
93,270,71.42622433
93,376,71.43051645
250,96,71.43269769
250,50,71.43544183
93,839,71.43910068
371,387,71.44268917
250,94,71.4445186
62,388,71.44472969
634,484,71.44515186
93,222,71.44536295
634,484,71.44761455
250,393,71.4495847
93,92,71.45064014
538,759,71.45113268
93,266,71.45197703
44,122,71.45253993
250,187,71.45366573
93,187,71.45472117
538,270,71.45542479
277,447,71.45570624
538,543,71.45894292
93,270,71.45964655
62,734,71.46168706
250,544,71.46260178
62,376,71.465557
92,99,71.46844187
92,91,71.47069347
93,759,71.4764632
93,703,71.48167003
93,183,71.48420308
62,759,71.48898773
93,120,71.49313912
93,759,71.49609435
637,107,71.4969387
521,443,71.49707943
712,388,71.49911994
62,4,71.49954212
93,107,71.49982357
93,376,71.50116045
194,105,71.50538221
93,395,71.50707091
98,5,71.51037795
93,636,71.51101121
53,154,71.51593659
93,435,71.51664022
62,120,71.51825855
837,443,71.52058052
538,759,71.52149523
93,120,71.52367647
538,270,71.5238172
93,270,71.52459118
98,389,71.52459118
93,759,71.52881294
538,183,71.52916475
93,412,71.53022019
93,154,71.53120526
538,759,71.53219034
93,437,71.53233107
93,543,71.53345687
538,412,71.53472339
53,832,71.53493448
837,389,71.53641209
435,762,71.53690463
93,759,71.53725644
62,376,71.53796007
93,4,71.53908587
538,759,71.54049312
73,241,71.5414782
62,395,71.54380016
538,120,71.54415197
93,376,71.54534814
93,120,71.54731829
288,705,71.54837373
93,395,71.55013279
93,759,71.55146968
93,60,71.55231403
495,447,71.55766158
93,183,71.55780231
288,677,71.56096862
619,762,71.56167225
686,96,71.5619537
93,412,71.56223515
712,290,71.56223515
495,120,71.5625166
93,328,71.56399421
825,326,71.5664569
93,120,71.5670198
93,585,71.56920104
538,120,71.57208591
53,40,71.57335243
62,4,71.57426715
93,4,71.57574476
538,40,71.57672984
93,120,71.57729274
719,672,71.57884071
346,40,71.57954434
119,437,71.58045905
98,389,71.58088123
62,4,71.5824292
194,705,71.58622878
220,261,71.58686204
346,179,71.5882693
62,759,71.58911365
93,4,71.58960618
93,437,71.59122452
98,495,71.59150597
93,759,71.59249105
712,290,71.59403903
825,288,71.59530555
93,863,71.59565736
93,290,71.60220108
62,4,71.60339724
552,290,71.60501558
39,373,71.60529703
73,236,71.60656356
39,248,71.60825226
53,154,71.6093077
825,260,71.61036314
62,759,71.6104335
93,759,71.61542924
93,154,71.61634395
73,241,71.61676613
39,248,71.61711794
53,357,71.61725867
93,4,71.61768084
636,686,71.61845483
53,597,71.6202139
39,437,71.62330985
73,236,71.62338021
751,734,71.62528
719,248,71.62549109
39,517,71.62879813
712,686,71.6292203
93,437,71.62929066
39,35,71.63639728
633,521,71.63738236
633,357,71.64153375
395,734,71.64343354
633,96,71.64392608
62,734,71.6480071
62,4,71.65279176
712,290,71.65476191
93,4,71.65638025
580,282,71.66137599
61,40,71.66447194
825,254,71.66609028
825,254,71.66855297
27,150,71.66939732
49,96,71.67664466
62,4,71.67868518
825,178,71.68438454
178,743,71.68515853
93,4,71.68705832
49,290,71.69233551
580,501,71.69712017
519,638,71.70028648
580,51,71.70084938
580,5,71.70260845
256,734,71.70619694
580,498,71.70865963
624,519,71.70901144
49,290,71.71611806
226,832,71.71970655
718,55,71.72026945
93,290,71.72547628
62,644,71.72695389
125,152,71.72836114
117,452,71.73560848
62,498,71.73793045
49,290,71.74306691
98,644,71.74405199
185,178,71.74764048
93,290,71.7477812
34,740,71.74954027
62,120,71.75284731
837,389,71.75538036
49,290,71.7569987
49,290,71.75819486
34,287,71.75875776
837,389,71.76171299
93,120,71.76938251
345,266,71.77733348
93,266,71.77895182
715,293,71.77965544
30,387,71.78422901
345,498,71.78458082
62,120,71.78873221
871,91,71.78908402
93,120,71.79049127
715,58,71.79689427
62,498,71.79900514
30,434,71.79963841
712,394,71.80062348
345,498,71.80118638
123,446,71.8032269
751,734,71.80618212
123,446,71.80625249
871,484,71.80639321
30,443,71.80674502
62,498,71.80977061
576,254,71.81181113
62,484,71.81455527
93,484,71.81610324
62,484,71.8186363
62,734,71.8225766
173,443,71.82363204
592,777,71.82553183
93,484,71.82736125
62,443,71.83481968
715,290,71.83707129
712,290,71.83932289
395,734,71.84094123
715,290,71.84178558
49,290,71.84952546
62,734,71.85803933
334,222,71.8584615
98,91,71.8607131
93,222,71.86148709
62,388,71.86162782
62,388,71.87401163
64,496,71.87830374
63,124,71.8783741
185,117,71.89202444
512,387,71.89533148
313,326,71.89744236
173,290,71.90278991
313,433,71.90539332
49,290,71.90905218
64,391,71.91130378
313,294,71.91390719
595,831,71.92228034
313,387,71.92284324
619,521,71.92671318
49,387,71.92840188
313,150,71.92987949
391,863,71.93367907
313,596,71.93501596
313,33,71.93614176
777,265,71.93909699
53,832,71.94141895
53,832,71.94219294
313,387,71.94317802
777,264,71.94402237
395,734,71.94690723
93,863,71.94704796
313,53,71.95105862
578,92,71.96527186
63,495,71.97737422
351,387,71.99749791
215,96,71.99749791
49,387,72.00361945
49,495,72.01227404
452,293,72.03570477
276,436,72.0369713
276,781,72.03929326
345,498,72.04611843
345,387,72.04921438
452,39,72.04942547
452,39,72.05160671
422,158,72.05167707
345,388,72.05223997
503,226,72.056321
345,266,72.05941695
639,444,72.08706944
393,290,72.09762382
761,703,72.10107159
62,734,72.10670059
49,290,72.10740422
393,290,72.11078162
361,387,72.11303322
812,126,72.11655135
49,290,72.11732534
361,187,72.11767715
619,158,72.11999911
393,290,72.12112491
634,484,72.12422087
326,152,72.12541703
583,387,72.13350872
452,391,72.13604178
78,179,72.14378166
78,395,72.14779232
743,99,72.15095864
743,99,72.15292879
743,484,72.15616547
361,387,72.1572209
361,642,72.16284991
452,702,72.1681271
519,773,72.17403755
361,423,72.17488191
424,388,72.17706314
173,423,72.17931475
712,388,72.18571774
185,126,72.2017604
395,388,72.20260475
712,388,72.20591179
452,291,72.20907811
452,183,72.21695871
452,183,72.2188585
395,388,72.21899923
3,640,72.22561331
3,640,72.22673911
452,713,72.2303276
424,388,72.23525298
745,35,72.23644914
395,388,72.23757494
395,734,72.24700352
551,549,72.24953657
288,705,72.25199926
3,90,72.25375833
125,155,72.25615065
452,497,72.26177966
578,376,72.26431271
452,791,72.26543851
452,858,72.2718415
97,596,72.27345984
578,677,72.27817413
221,549,72.28021465
578,517,72.28232552
837,294,72.28295879
424,388,72.28401423
551,640,72.28675837
551,549,72.28908033
871,91,72.28922105
203,266,72.28999504
315,596,72.30160486
452,247,72.30941511
686,154,72.31652173
837,388,72.31870296
336,84,72.32749828
686,96,72.32820191
237,308,72.33544925
452,785,72.33636397
452,785,72.33840448
279,35,72.33995246
686,283,72.3426966
92,357,72.35184373
392,869,72.35669874
452,713,72.35937252
346,376,72.35965397
747,391,72.36387572
5,58,72.36415717
346,53,72.36549406
747,105,72.37161561
747,154,72.37407829
452,391,72.37548555
14,154,72.37830005
14,53,72.37956657
747,391,72.3802702
253,128,72.3808331
346,150,72.38125527
445,853,72.38216999
253,149,72.38442159
747,484,72.38934697
253,791,72.38955806
153,702,72.39349836
452,83,72.39673504
452,702,72.40588217
100,850,72.40595253
452,702,72.41080755
712,388,72.4139035
452,391,72.42044722
100,498,72.42178411
452,791,72.4253726
100,592,72.42607622
602,762,72.42804637
39,830,72.43240885
100,789,72.4326903
452,702,72.43311248
747,391,72.4349419
452,702,72.43789713
870,789,72.43789713
452,702,72.44155598
747,850,72.44197816
343,853,72.44408904
709,636,72.44880333
100,869,72.4503513
678,542,72.45506559
100,868,72.45689502
708,242,72.45759865
709,592,72.46132786
100,850,72.46189076
24,730,72.46203149
25,730,72.47582255
837,572,72.47744089
452,558,72.48018503
516,50,72.48187373
516,730,72.48785454
343,853,72.49749421
424,388,72.4999569
709,874,72.50446011
823,178,72.50664135
47,152,72.50980766
577,437,72.51789935
823,437,72.51825117
823,240,72.52592069
577,437,72.52669467
823,437,72.53014244
639,572,72.53422347
823,152,72.53556036
735,53,72.53584181
395,790,72.5405561
686,389,72.54196335
49,247,72.54906997
56,389,72.55258809
49,387,72.55315099
779,741,72.55617658
639,675,72.56032797
735,53,72.5638461
281,264,72.57376722
620,394,72.58488451
735,124,72.588473
620,874,72.59009133
194,705,72.59951992
375,437,72.60880777
226,179,72.61077792
464,265,72.61267771
464,222,72.61535149
226,832,72.6162662
90,702,72.61647729
445,853,72.61795491
452,183,72.61872889
375,150,72.61922143
464,40,72.62337282
395,790,72.62414681
464,260,72.62759458
280,504,72.62935364
392,157,72.63104234
281,50,72.63364575
452,702,72.6386415
464,595,72.64054129
424,595,72.64462231
464,757,72.64490376
464,595,72.64743682
452,702,72.64757754
261,261,72.65039204
125,183,72.65186966
464,423,72.65341763
424,595,72.65362872
464,595,72.65827265
445,152,72.66087606
412,637,72.66221295
445,387,72.66502745
392,869,72.66713833
813,519,72.66826413
412,81,72.67333024
383,2,72.67579292
392,388,72.67973323
100,869,72.68740275
870,265,72.68916181
472,869,72.68916181
100,869,72.6961277
100,708,72.70450085
100,708,72.70618955
256,437,72.71934735
472,782,72.72342837
256,734,72.7291981
40,94,72.7314497
83,53,72.7320126
464,506,72.7320126
171,96,72.73299768
83,33,72.73356058
281,690,72.73412348
472,507,72.73658617
472,708,72.74608512
171,178,72.75875038
83,387,72.76276104
40,585,72.76557554
273,222,72.77218962
100,708,72.77240071
464,737,72.77437086
582,853,72.77472267
90,737,72.77922588
633,544,72.789147
686,544,72.80202335
753,596,72.83755644
744,152,72.84775901
744,155,72.85444345
712,154,72.85514707
551,40,72.85711723
744,155,72.86246478
551,260,72.86373131
452,708,72.87393388
623,157,72.87477823
215,118,72.87963324
623,266,72.88026651
273,242,72.88160339
623,266,72.88167376
623,266,72.88265883
623,266,72.8832921
273,876,72.88814711
273,394,72.89525373
273,387,72.89743497
522,546,72.90848189
273,152,72.91284437
392,157,72.91706612
522,55,72.92002135
551,546,72.92290621
392,766,72.92325803
864,50,72.92375056
522,777,72.92565035
296,498,72.9264947
296,395,72.92902775
345,266,72.93050537
522,308,72.93127936
296,45,72.93353096
93,782,72.94098939
522,546,72.94120048
345,40,72.94218555
93,395,72.94345208
445,107,72.94422607
93,484,72.94682948
503,767,72.95084015
93,152,72.95780604
353,786,72.96434976
834,484,72.966531
592,63,72.96744571
93,290,72.96955659
345,498,72.97166746
93,484,72.9744116
392,86,72.97518559
49,290,72.97581885
592,776,72.97602994
93,703,72.97680393
445,290,72.97947771
343,853,72.97947771
93,107,72.97975916
345,387,72.98032206
93,636,72.98130713
288,705,72.98236257
93,585,72.98257366
345,572,72.98384018
870,290,72.98714722
93,290,72.98778049
870,149,72.9892581
93,290,72.99101716
93,444,72.99488711
62,734,72.99727943
345,388,73.00051611
49,636,73.01261847
361,782,73.01564406
361,782,73.01648841
686,508,73.02359503
361,266,73.02380611
361,790,73.03281252
279,572,73.0349234
686,778,73.0360492
361,498,73.03668246
62,388,73.03794899
93,782,73.04005986
686,388,73.04181893
279,290,73.04266328
361,387,73.04273364
426,850,73.04308545
188,671,73.04400017
173,290,73.04470379
198,96,73.04618141
93,290,73.04632213
62,484,73.04815156
426,387,73.04984026
173,671,73.05216222
361,183,73.05244367
62,498,73.05610253
426,542,73.05743942
93,484,73.05779123
279,290,73.05947993
93,290,73.05976138
686,290,73.06116863
93,290,73.06257588
361,498,73.06391277
62,395,73.06447567
269,90,73.06454603
93,395,73.06954177
712,388,73.07172301
764,388,73.07263773
62,388,73.07397462
712,388,73.07432643
686,388,73.07467824
62,395,73.07608549
62,50,73.08459936
361,395,73.08663987
361,388,73.09233924
472,636,73.09466121
445,853,73.09585737
62,437,73.09810897
198,2,73.09874223
361,61,73.10014949
445,853,73.10078275
288,196,73.10127529
445,196,73.1027529
198,13,73.10451196
361,640,73.10591921
361,597,73.10760792
361,40,73.10936698
445,387,73.11119641
198,671,73.11337765
361,92,73.11569961
471,81,73.12632436
361,790,73.12646508
198,264,73.12885741
62,772,73.13167191
84,790,73.13202372
8,222,73.13216445
173,671,73.13258662
374,878,73.13406424
361,31,73.13483822
361,790,73.13610475
274,60,73.1369491
813,266,73.13877853
198,671,73.1392007
361,197,73.1408894
721,247,73.14314101
361,266,73.14447789
274,704,73.14736276
361,187,73.14848856
3,90,73.15411756
361,759,73.15418793
623,157,73.15468046
361,123,73.15728388
623,876,73.15869113
370,388,73.15911331
361,424,73.15939476
62,759,73.16143527
8,90,73.16143527
61,157,73.16375723
274,758,73.16516448
623,266,73.17198965
471,179,73.17234147
3,640,73.17248219
634,155,73.17276364
8,759,73.172834
8,759,73.17424125
548,119,73.17592996
623,157,73.17846301
274,120,73.1786741
100,850,73.17937772
877,372,73.18071461
686,92,73.18191077
274,324,73.18662506
374,878,73.18972102
623,387,73.19225407
712,96,73.20611549
361,92,73.20738202
361,790,73.21237776
274,596,73.21927329
712,96,73.22194707
823,152,73.22279142
384,869,73.22328395
274,598,73.22771679
753,85,73.22849078
424,388,73.22947586
712,96,73.2310942
592,187,73.23285326
198,704,73.23665284
376,595,73.23693429
538,759,73.23798973
709,636,73.23820082
592,362,73.23939698
361,387,73.23981915
709,595,73.24467417
538,264,73.24615178
198,96,73.24777012
538,640,73.24861447
376,675,73.25023281
592,437,73.25185115
376,675,73.25332876
424,675,73.25368058
538,40,73.25551
376,675,73.25628399
424,675,73.25839487
775,850,73.25959103
274,264,73.26120937
538,546,73.26198336
62,437,73.26317952
712,287,73.26409424
552,572,73.26430532
538,264,73.26465714
712,96,73.27134158
777,265,73.27288955
62,759,73.27704095
428,387,73.27718167
98,546,73.27746312
231,572,73.27936291
552,92,73.27978508
592,308,73.28203669
592,777,73.28513264
777,264,73.28611771
325,237,73.29062092
777,595,73.29343542
592,372,73.29568702
446,117,73.3011753
428,878,73.30124566
777,868,73.30131603
446,117,73.30321581
220,394,73.30504524
39,572,73.30532669
424,595,73.30722648
274,264,73.30877446
592,124,73.31144823
315,572,73.31144823
580,740,73.31201113
51,830,73.31313694
825,254,73.31355911
90,437,73.3154589
777,264,73.31665506
747,154,73.31693651
353,308,73.3171476
269,90,73.31756978
220,496,73.3177105
90,240,73.3188363
186,81,73.31946956
90,759,73.31968065
446,434,73.3199621
712,82,73.32151008
592,590,73.3222137
446,434,73.32319878
100,850,73.32355059
737,290,73.32355059
825,326,73.32425422
220,261,73.32594292
198,96,73.32643546
592,851,73.32657618
878,80,73.33044612
100,868,73.33129047
637,856,73.33487896
100,868,73.33621585
446,80,73.33635658
446,79,73.33966362
719,265,73.34198558
825,673,73.34254848
274,264,73.34254848
267,197,73.34360392
446,348,73.34494081
279,2,73.34557407
555,257,73.34585552
267,519,73.35049945
279,572,73.3524696
446,547,73.35253997
279,572,73.35338432
712,424,73.3541583
346,179,73.35549519
709,868,73.35753571
637,672,73.35823933
100,6,73.36042057
637,704,73.36063166
637,107,73.36422015
8,90,73.36703465
3,90,73.36907517
478,546,73.36998988
592,328,73.37006024
84,96,73.37463381
3,90,73.37477453
512,126,73.37590033
719,541,73.37998136
322,363,73.38342913
522,777,73.38342913
8,197,73.38546964
3,662,73.38638435
49,704,73.3877916
49,96,73.38877668
322,484,73.38905813
3,759,73.38983212
322,445,73.39152082
3,412,73.39180227
576,254,73.39243553
3,197,73.39370206
712,328,73.39391315
8,759,73.39609439
548,257,73.39799417
8,197,73.40052723
712,328,73.40256774
77,519,73.40306028
97,592,73.40411572
250,94,73.40411572
256,437,73.40559333
745,35,73.40594514
8,662,73.40939291
125,183,73.41058907
745,260,73.41284067
8,197,73.41875113
745,878,73.42008802
777,265,73.42255071
345,61,73.42311361
777,264,73.42381723
8,197,73.42515412
220,154,73.42768717
764,388,73.4283908
551,260,73.42993877
495,60,73.4317682
709,595,73.43472343
712,154,73.43549742
777,868,73.43767865
8,183,73.43838228
361,61,73.43887482
39,239,73.43922663
274,264,73.44070424
8,662,73.44077461
709,868,73.44091533
623,543,73.44295585
361,40,73.44309657
326,96,73.44394092
295,686,73.44802195
521,239,73.44949956
361,543,73.45533966
277,504,73.4575209
777,264,73.45801343
522,239,73.45935032
709,642,73.46054648
274,264,73.46174265
460,395,73.46272772
601,868,73.46786419
274,183,73.47032688
780,242,73.47145268
363,767,73.47637806
547,437,73.48207743
19,373,73.48432903
780,373,73.49256145
19,590,73.50030133
273,388,73.50156785
547,373,73.50283438
345,92,73.51831414
43,36,73.51852523
547,498,73.52000284
345,498,73.52126937
345,498,73.52302843
19,729,73.52415423
39,373,73.52549112
824,850,73.52802417
345,387,73.52809454
39,239,73.53161266
19,45,73.53344209
503,767,73.5343568
224,767,73.53520115
19,387,73.53597514
224,226,73.53724167
887,49,73.53900073
887,703,73.54434829
637,594,73.54491119
887,703,73.54786641
345,388,73.55363614
503,767,73.55546557
712,388,73.55609883
887,319,73.55828007
224,767,73.55926515
48,731,73.56025022
712,686,73.56046131
887,260,73.5612353
712,96,73.56207965
196,53,73.56369799
359,387,73.56376835
363,767,73.56616068
49,96,73.56700503
19,734,73.56813083
78,395,73.56988989
359,126,73.57003062
887,853,73.57171932
719,265,73.57291548
624,519,73.57298585
538,40,73.57770014
78,387,73.57931848
361,40,73.58023319
